device_info_serial,date_time,latitude,longitude
2159,10/04/2016 17:49,-33.8613009,121.8702448
2159,10/04/2016 18:19,-33.8612903,121.8701977
2159,10/04/2016 18:50,-33.8613188,121.870258
2159,10/04/2016 19:20,-33.8612368,121.8700148
2159,10/04/2016 19:51,-33.8612957,121.8702755
2159,10/04/2016 20:21,-33.8613406,121.8703142
2159,10/04/2016 20:51,-33.8612128,121.8703679
2159,11/04/2016 6:21,-33.7922014,121.8576621
2159,11/04/2016 6:36,-33.7874437,121.8458614
2159,11/04/2016 6:51,-33.7874444,121.8458515
2159,11/04/2016 7:06,-33.7873955,121.845808
2159,11/04/2016 7:21,-33.7874814,121.8459852
2159,11/04/2016 7:36,-33.792836,121.8488183
2159,11/04/2016 7:51,-33.8055666,121.8508734
2159,11/04/2016 8:06,-33.8408565,121.8526701
2159,11/04/2016 8:21,-33.8422999,121.855063
2159,11/04/2016 8:36,-33.8463324,121.8535764
2159,11/04/2016 8:51,-33.862798,121.854725
2159,11/04/2016 9:06,-33.8608662,121.8680235
2159,11/04/2016 9:22,-33.8585852,121.8692922
2159,11/04/2016 9:36,-33.8588676,121.8690872
2159,11/04/2016 9:51,-33.8574124,121.8666314
2159,11/04/2016 10:07,-33.8577105,121.8670162
2159,11/04/2016 10:22,-33.8577387,121.8671386
2159,11/04/2016 10:52,-33.8577117,121.8670891
2159,11/04/2016 11:22,-33.8576722,121.8670326
2159,11/04/2016 11:52,-33.857609,121.8670379
2159,11/04/2016 12:23,-33.8576491,121.8669949
2159,11/04/2016 12:53,-33.8576846,121.8670357
2159,11/04/2016 13:23,-33.8575094,121.8670055
2159,11/04/2016 13:54,-33.8577261,121.8670356
2159,11/04/2016 14:24,-33.8577048,121.8670225
2159,11/04/2016 14:54,-33.8577177,121.867074
2159,11/04/2016 15:24,-33.8577392,121.8669933
2159,11/04/2016 15:54,-33.857794,121.8669551
2159,11/04/2016 16:25,-33.857678,121.8670466
2159,11/04/2016 16:55,-33.8576636,121.867034
2159,11/04/2016 17:25,-33.8576937,121.8670074
2159,11/04/2016 17:55,-33.8577115,121.8670355
2159,11/04/2016 18:25,-33.8577082,121.8670045
2159,11/04/2016 18:55,-33.8577858,121.8668792
2159,11/04/2016 19:25,-33.8576993,121.8670755
2159,11/04/2016 19:55,-33.8577,121.8670057
2159,11/04/2016 20:26,-33.8577047,121.8670996
2159,11/04/2016 20:57,-33.8576813,121.8669796
2159,11/04/2016 21:27,-33.85771,121.8670446
2159,11/04/2016 21:42,-33.8576714,121.8670558
2159,11/04/2016 21:57,-33.8576381,121.8669901
2159,11/04/2016 22:12,-33.8578137,121.8693082
2159,11/04/2016 22:27,-33.8538833,121.8707621
2159,11/04/2016 22:42,-33.853435,121.8771663
2159,11/04/2016 22:57,-33.8379163,121.8771517
2159,11/04/2016 23:12,-33.8313155,121.8759172
2159,11/04/2016 23:28,-33.8317851,121.8693096
2159,11/04/2016 23:43,-33.8370422,121.8649331
2159,11/04/2016 23:58,-33.8370014,121.8649466
2159,12/04/2016 0:13,-33.8353529,121.8686106
2159,12/04/2016 0:28,-33.8358261,121.869413
2159,12/04/2016 0:43,-33.8372242,121.8677331
2159,12/04/2016 0:58,-33.8351746,121.8703166
2159,12/04/2016 1:13,-33.8349942,121.8750025
2159,12/04/2016 1:28,-33.8349389,121.8764604
2159,12/04/2016 1:44,-33.8338351,121.8771405
2159,12/04/2016 1:59,-33.8274989,121.8797931
2159,12/04/2016 2:14,-33.8230313,121.8840643
2159,12/04/2016 2:29,-33.8098024,121.8854796
2159,12/04/2016 2:44,-33.7981605,121.8651466
2159,12/04/2016 2:59,-33.7947914,121.8639856
2159,12/04/2016 3:14,-33.7907795,121.8645662
2159,12/04/2016 3:29,-33.7873919,121.8458871
2159,12/04/2016 3:44,-33.7876836,121.8474255
2159,12/04/2016 3:59,-33.7876918,121.8477335
2159,12/04/2016 4:15,-33.7878089,121.8474344
2159,12/04/2016 4:30,-33.7876733,121.8474104
2159,12/04/2016 4:45,-33.7877321,121.8474818
2159,12/04/2016 5:00,-33.7876716,121.8475537
2159,12/04/2016 5:15,-33.7858902,121.850474
2159,12/04/2016 5:30,-33.7858835,121.8524708
2159,12/04/2016 5:45,-33.785701,121.8528247
2159,12/04/2016 6:00,-33.7837621,121.8505361
2159,12/04/2016 6:15,-33.7845499,121.848455
2159,12/04/2016 6:31,-33.7837987,121.8482824
2159,12/04/2016 6:46,-33.780623,121.857792
2159,12/04/2016 7:01,-33.7839552,121.8626213
2159,12/04/2016 7:16,-33.8054545,121.8627836
2159,12/04/2016 7:31,-33.8223591,121.8538703
2159,12/04/2016 7:47,-33.8402627,121.8600245
2159,12/04/2016 8:02,-33.8401986,121.8601351
2159,12/04/2016 8:17,-33.8416975,121.8559449
2159,12/04/2016 8:33,-33.8414842,121.8560002
2159,12/04/2016 8:47,-33.8405042,121.8552831
2159,12/04/2016 9:02,-33.854417,121.8612756
2159,12/04/2016 9:17,-33.8554167,121.8617864
2159,12/04/2016 9:32,-33.857655,121.8665343
2159,12/04/2016 9:47,-33.857595,121.8663688
2159,12/04/2016 10:03,-33.8578282,121.866617
2159,12/04/2016 10:18,-33.8580711,121.8664582
2159,12/04/2016 10:49,-33.8575693,121.8665889
2159,12/04/2016 11:21,-33.8573869,121.8664437
2159,12/04/2016 11:51,-33.8575953,121.8665713
2159,12/04/2016 12:21,-33.8575543,121.8665856
2159,12/04/2016 12:52,-33.857645,121.8664971
2159,12/04/2016 13:22,-33.8575715,121.8665662
2159,12/04/2016 13:52,-33.8575673,121.8665441
2159,12/04/2016 14:22,-33.8575991,121.8665104
2159,12/04/2016 14:53,-33.8575675,121.8665125
2159,12/04/2016 15:23,-33.8576721,121.8665935
2159,12/04/2016 15:53,-33.8574574,121.8664849
2159,12/04/2016 16:23,-33.8575642,121.8665503
